,Cohort,AUC,ROI
0,Training,0.7487296929793174,ROI00
1,Testing,0.7092993422587116,ROI00
0,Training,0.7077936019466113,ROI01
1,Testing,0.6541202127163317,ROI01
0,Training,0.7516460316324338,ROI02
1,Testing,0.7069436021831413,ROI02
0,Training,0.776202318757604,ROI10
1,Testing,0.7469620282688809,ROI10
0,Training,0.700274636799542,ROI11
1,Testing,0.5857104538881373,ROI11
0,Training,0.7450797967508767,ROI12
1,Testing,0.6660913374072864,ROI12
0,Training,0.7936422028197238,ROI20
1,Testing,0.7999603489294211,ROI20
0,Training,0.7404592786087454,ROI21
1,Testing,0.6804590194523488,ROI21
0,Training,0.6872271523652759,ROI22
1,Testing,0.653572094975976,ROI22
